1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,collision
0,1,0,хэтчбек,1,1,0,грузовик,да
0,0,0,седан,1,1,0,грузовик,нет
1,0,0,грузовик,0,0,1,грузовик,да
0,1,1,грузовик,0,0,1,внедорожник,да
0,0,0,грузовик,1,1,1,внедорожник,нет
1,1,1,хэтчбек,1,0,0,седан,нет
0,1,1,седан,1,1,0,внедорожник,нет
1,0,1,грузовик,1,1,0,грузовик,да
0,0,1,грузовик,0,0,1,грузовик,да
0,0,1,грузовик,1,1,1,грузовик,да
1,0,1,грузовик,1,0,0,седан,да
0,1,1,хэтчбек,1,0,0,седан,нет
0,0,1,седан,1,1,0,седан,нет
0,0,1,грузовик,0,1,1,внедорожник,да
1,0,0,внедорожник,1,1,1,хэтчбек,нет
0,1,1,хэтчбек,1,1,1,грузовик,да
0,0,1,внедорожник,1,1,1,хэтчбек,нет
1,0,1,грузовик,0,0,1,грузовик,да
1,0,0,седан,1,0,0,внедорожник,да
0,1,1,внедорожник,1,0,0,внедорожник,нет
0,0,1,грузовик,1,1,0,грузовик,нет
1,0,0,хэтчбек,1,1,1,хэтчбек,да
0,0,1,седан,0,1,1,хэтчбек,да
1,0,1,внедорожник,1,1,1,грузовик,да
0,0,1,седан,1,1,0,хэтчбек,нет
0,1,1,хэтчбек,1,1,1,хэтчбек,да
1,0,1,грузовик,0,0,0,грузовик,да
0,1,1,седан,0,1,1,внедорожник,да
0,1,1,внедорожник,1,0,0,седан,нет
0,1,0,хэтчбек,1,1,1,хэтчбек,да
1,0,0,внедорожник,1,1,1,внедорожник,да
0,1,1,хэтчбек,0,0,1,грузовик,да
0,0,1,внедорожник,1,0,0,внедорожник,да
0,0,0,грузовик,1,1,0,внедорожник,нет
0,1,1,грузовик,0,1,0,хэтчбек,да
1,0,0,внедорожник,1,0,0,седан,да
0,0,1,внедорожник,1,1,1,внедорожник,да
1,0,0,грузовик,0,0,1,внедорожник,нет
0,1,1,грузовик,0,1,1,хэтчбек,да
0,1,1,внедорожник,1,1,1,хэтчбек,да
1,1,0,внедорожник,1,0,0,внедорожник,да
0,0,1,внедорожник,1,1,0,хэтчбек,нет
0,0,1,внедорожник,1,1,1,хэтчбек,нет
0,0,1,грузовик,1,1,0,седан,нет
1,0,0,хэтчбек,1,1,0,внедорожник,да
0,1,1,хэтчбек,0,0,1,внедорожник,да
0,1,1,хэтчбек,0,0,1,грузовик,да
1,0,1,седан,1,0,0,хэтчбек,да
0,0,1,седан,1,0,0,внедорожник,нет
0,1,0,грузовик,0,0,1,грузовик,да
1,0,0,седан,1,1,0,хэтчбек,да
0,1,0,внедорожник,1,1,0,хэтчбек,да
1,0,0,грузовик,0,1,1,внедорожник,нет
0,1,0,внедорожник,1,1,0,внедорожник,да
1,0,1,хэтчбек,1,1,1,внедорожник,да
0,1,1,грузовик,0,0,1,грузовик,да
1,0,1,грузовик,1,1,1,хэтчбек,да
0,1,1,внедорожник,0,0,0,грузовик,нет
0,0,1,внедорожник,1,0,0,седан,нет
0,0,1,седан,0,1,1,грузовик,да
0,1,1,хэтчбек,1,1,0,хэтчбек,да
1,1,1,грузовик,1,0,1,внедорожник,да
1,0,0,внедорожник,0,1,1,внедорожник,нет
0,0,1,внедорожник,0,1,1,хэтчбек,да
0,0,0,седан,1,0,0,хэтчбек,да
0,0,0,седан,0,0,1,внедорожник,да
1,1,1,внедорожник,1,1,1,хэтчбек,да
0,1,1,седан,0,1,0,внедорожник,да
0,1,1,внедорожник,1,1,1,грузовик,да
1,0,1,грузовик,1,0,0,внедорожник,да
1,0,1,хэтчбек,0,0,1,грузовик,да
0,1,0,внедорожник,0,0,0,грузовик,да
0,0,1,грузовик,1,1,1,хэтчбек,нет
0,0,0,грузовик,0,0,1,грузовик,да
1,0,1,грузовик,1,0,0,внедорожник,да
1,0,1,седан,0,0,1,внедорожник,да
1,0,1,грузовик,0,1,1,внедорожник,нет
0,1,1,хэтчбек,1,1,0,седан,нет
0,0,1,седан,1,1,1,грузовик,нет
0,1,1,внедорожник,1,0,1,внедорожник,да
1,1,0,хэтчбек,1,0,0,седан,да
1,0,1,хэтчбек,1,0,0,внедорожник,да
0,0,1,грузовик,0,1,1,внедорожник,да
1,1,0,седан,1,1,1,хэтчбек,да
0,1,1,хэтчбек,0,1,1,внедорожник,да
1,1,0,грузовик,1,0,0,внедорожник,да
0,0,1,внедорожник,0,1,1,внедорожник,да
0,0,0,грузовик,0,1,1,грузовик,да
1,0,1,внедорожник,1,1,1,хэтчбек,да
1,0,0,внедорожник,1,1,0,хэтчбек,да
1,1,1,хэтчбек,1,1,1,грузовик,да
0,1,1,внедорожник,1,1,0,хэтчбек,нет
0,1,0,внедорожник,0,0,1,грузовик,нет
1,0,1,грузовик,1,1,1,хэтчбек,да
0,0,0,седан,1,0,0,внедорожник,да
1,1,1,внедорожник,0,1,0,хэтчбек,нет
1,1,0,седан,1,0,0,седан,да
0,1,1,хэтчбек,0,0,0,грузовик,нет
0,0,1,внедорожник,1,1,0,грузовик,нет
0,1,1,грузовик,1,1,1,грузовик,да
1,0,0,внедорожник,1,1,1,хэтчбек,нет
0,0,1,грузовик,0,1,1,седан,да
1,0,0,грузовик,0,1,1,хэтчбек,нет
0,1,1,хэтчбек,1,0,0,седан,нет
0,1,1,седан,1,0,0,седан,нет
1,0,0,седан,1,1,1,грузовик,нет
1,1,0,грузовик,1,1,1,хэтчбек,да
0,0,1,седан,1,1,1,грузовик,нет
0,0,1,грузовик,1,0,1,грузовик,да
0,0,1,грузовик,1,1,1,хэтчбек,нет
1,0,1,грузовик,1,1,0,грузовик,да
1,1,1,грузовик,1,0,0,седан,нет
0,1,1,внедорожник,1,0,0,внедорожник,нет
0,0,0,грузовик,1,1,1,грузовик,нет
1,1,0,внедорожник,1,0,1,внедорожник,да
1,0,0,внедорожник,1,0,0,внедорожник,да
0,1,1,внедорожник,1,1,1,хэтчбек,да
0,0,0,грузовик,0,1,1,хэтчбек,нет
1,0,1,седан,0,1,1,внедорожник,нет
1,0,0,грузовик,1,1,1,хэтчбек,нет
0,1,0,хэтчбек,1,1,1,грузовик,нет
0,0,0,седан,1,0,0,внедорожник,да
1,1,0,хэтчбек,1,1,1,хэтчбек,да
1,1,1,грузовик,1,1,1,внедорожник,да
1,0,1,хэтчбек,0,1,1,внедорожник,нет
0,1,1,внедорожник,1,0,0,седан,нет
0,1,1,внедорожник,0,0,1,седан,да
1,1,0,грузовик,0,1,1,внедорожник,нет
1,0,1,грузовик,1,0,0,хэтчбек,да
0,1,0,хэтчбек,0,1,0,внедорожник,да
1,1,0,грузовик,1,0,1,внедорожник,нет
0,1,1,хэтчбек,0,1,0,хэтчбек,да
0,1,1,внедорожник,1,1,0,хэтчбек,нет
0,0,1,грузовик,1,1,0,внедорожник,нет
1,0,1,грузовик,0,1,1,внедорожник,нет
0,1,1,внедорожник,1,0,0,внедорожник,нет
1,1,0,грузовик,0,1,0,внедорожник,да
1,1,1,внедорожник,0,0,1,внедорожник,да
1,0,1,хэтчбек,1,0,1,внедорожник,да
0,0,0,седан,0,1,0,внедорожник,да
1,0,0,седан,1,1,1,хэтчбек,нет
0,1,1,седан,1,1,1,хэтчбек,да
0,1,1,седан,1,0,0,хэтчбек,нет
1,0,1,грузовик,1,1,0,грузовик,да
0,1,1,хэтчбек,0,0,1,внедорожник,да
0,0,1,внедорожник,1,1,0,седан,нет
1,1,1,внедорожник,0,0,1,грузовик,нет
0,1,1,хэтчбек,1,0,1,внедорожник,нет
0,1,1,внедорожник,1,0,1,внедорожник,да
1,0,1,седан,1,1,1,грузовик,да
0,1,1,внедорожник,1,0,0,седан,нет
1,1,0,внедорожник,0,0,1,внедорожник,нет
0,0,1,грузовик,0,0,1,внедорожник,да
0,1,0,грузовик,1,0,1,грузовик,нет
1,1,0,внедорожник,1,1,1,внедорожник,да
0,1,1,грузовик,1,1,1,хэтчбек,да
0,1,1,грузовик,1,0,0,внедорожник,нет
0,1,0,хэтчбек,1,0,0,внедорожник,нет
0,1,1,седан,1,1,1,хэтчбек,да
0,1,1,внедорожник,0,0,0,грузовик,нет
1,0,1,грузовик,0,1,1,внедорожник,нет
0,1,1,грузовик,1,1,0,внедорожник,нет
0,1,1,внедорожник,0,1,1,хэтчбек,да
0,1,0,грузовик,1,1,1,внедорожник,нет
1,0,1,хэтчбек,1,1,0,внедорожник,нет
1,0,1,хэтчбек,1,0,0,хэтчбек,да
0,0,1,грузовик,1,0,1,внедорожник,да
1,1,1,грузовик,0,0,0,грузовик,нет
0,1,0,грузовик,0,0,1,внедорожник,нет
0,0,1,грузовик,1,1,1,хэтчбек,нет
1,0,1,грузовик,1,1,1,внедорожник,да
1,0,0,грузовик,0,1,1,хэтчбек,нет
1,0,1,грузовик,0,1,1,внедорожник,нет
1,0,1,грузовик,0,0,1,грузовик,да
1,1,1,грузовик,1,0,1,внедорожник,да
1,0,1,седан,1,0,0,седан,да
0,1,1,хэтчбек,0,0,1,грузовик,да
1,1,1,грузовик,0,1,1,внедорожник,да
0,0,1,грузовик,0,0,0,грузовик,да
1,0,0,седан,1,0,1,внедорожник,да
0,1,1,внедорожник,0,0,1,седан,да
0,0,1,грузовик,1,1,1,грузовик,да
0,1,0,грузовик,1,1,1,внедорожник,нет
0,1,0,грузовик,0,1,0,внедорожник,да
